Nom_Instance Valeur_M1 Gap_M1 Temps_M1 Valeur_M2 Gap_M2 Temps_M2 Valeur_Benders Gap_Benders Temps_Benders
10_2_2_1.txt 525 0 0.124747 525 0 132.77 525 0 0.79961 
10_2_2_2.txt 517 0 0.225366 517 0 215.86 517 0 1.28134 
10_2_4_1.txt 475 0 0.205454 475 0 253.416 475 0 0.719774 
10_2_4_2.txt 483 0 0.30732 483 0 127.339 483 0 0.788346 
10_4_2_1.txt 220 0 0.356661 220 0 99.5796 220 0 2.60232 
10_4_2_2.txt 280 0 0.688014 280 0 122.037 280 0 2.09946 
10_4_4_1.txt 244 0 0.453207 244 0 61.5497 244 0 1.6742 
10_4_4_2.txt 179 0 0.356209 179 0 93.0211 179 0 2.48059 
20_2_2_1.txt 991 0 378.766 1010 0.976238 602.122 991 0 290.576 
20_2_2_2.txt 1066 0 9.28012 1071 0.988796 602.216 1066 0 72.3408 
20_2_4_1.txt 1033 0 43.2471 1057 0.988647 602.21 1033 0 133.012 
20_2_4_2.txt 940 0 138.982 961 0.989594 602.076 940 0 309.6 
20_4_2_1.txt 552 0 458.776 570 0.959649 601.363 551 0.108695 600.209 
20_4_2_2.txt 404 0.0247525 602.526 424 0.983491 601.11 404 0 174.923 
20_4_4_1.txt 445 0.0337079 601.925 464 0.978448 600.785 445 0.00449438 600.24 
20_4_4_2.txt 470 0 321.571 500 0.974 601.104 469 0 442.294 
30_2_2_1.txt 1486 0.00874832 603.168 1516 0.994063 601.411 1552 0.254651 600.849 
30_2_2_2.txt 1666 0.00540216 605.811 1726 0.993048 601.588 1689 0.195555 600.852 
30_2_4_1.txt 1407 0.00710732 601.637 1477 0.989167 601.295 1444 0.222059 601.083 
30_2_4_2.txt 1357 0.0147384 601.899 1440 0.991667 601.173 1402 0.229729 600.809 
30_4_2_1.txt 602 0.0249169 602.76 646 0.978328 601.414 661 0.513298 601.76 
30_4_2_2.txt 670 0.0223881 601.941 732 0.991803 601.317 754 0.538588 601.418 
30_4_4_1.txt 745 0.0322148 601.219 811 0.988903 600.969 843 0.560961 600.487 
30_4_4_2.txt 697 0.0272597 601.557 737 0.986431 601.099 757 0.520476 600.871 
60_2_3_1.txt 2922 0.0136893 601.169 3316 0.994873 603.161 3033 0.377847 601.076 
60_2_3_2.txt 2842 0.0299085 600.679 3294 0.997571 603.115 2909 0.305236 601.176 
60_2_6_1.txt -1 -1 600.676 3051 0.997706 602.895 2858 0.325503 600.888 
60_2_6_2.txt 2984 0.139075 600.603 2922 0.997604 603.167 2728 0.356843 600.816 
60_4_3_1.txt 1530 0.0718954 600.72 4857 0.998765 605.889 1616 0.766615 600.168 
60_4_3_2.txt 1318 0.047041 600.95 3326 0.998196 606.211 1523 0.790468 601.106 
60_4_6_1.txt -1 -1 601.173 1796 0.996659 605.824 1625 0.769127 600.31 
60_4_6_2.txt -1 -1 600.818 1430 0.992308 605.781 1420 0.756697 601.518 
