Nom_Instance Valeur_M1 Gap_M1 Temps_M1 Valeur_M2 Gap_M2 Temps_M2 Valeur_Benders Gap_Benders Temps_Benders
40_2_3_1.txt 1676 0.0125298 600.967 1797 0.994435 601.27 1725 0.314448 601.002 
40_2_3_2.txt 1913 0.0109775 600.963 2040 0.995098 601.232 2008 0.321851 601.027 
40_2_6_1.txt 1830 0.0459016 600.289 1883 0.995751 601.215 1802 0.256845 601.749 
40_2_6_2.txt -1 -1 600.333 2063 0.995637 601.472 1936 0.319544 601.273 
40_4_3_1.txt 925 0.0194595 601.05 1072 0.992537 602.248 1027 0.647517 600.405 
40_4_3_2.txt 867 0.0334487 600.641 957 0.988506 601.966 953 0.654774 600.868 
40_4_6_1.txt 777 0.036036 600.726 895 0.993296 601.991 853 0.595541 600.849 
40_4_6_2.txt 812 0.0418719 600.595 918 0.991285 602.16 876 0.636456 601.078 
50_2_3_1.txt 2149 0.0144253 600.856 2338 0.995723 601.988 2220 0.347662 601.579 
50_2_3_2.txt 2411 0.00746578 600.924 2517 0.997616 602.029 2464 0.236165 601.467 
50_2_6_1.txt -1 -1 600.991 2438 0.995898 602.332 2286 0.334326 601.468 
50_2_6_2.txt -1 -1 600.695 2388 0.99665 602.163 2170 0.318921 601.405 
50_4_3_1.txt 2160 0.434259 601.289 1435 0.995819 603.467 1376 0.732264 600.337 
50_4_3_2.txt 1192 0.0486577 600.688 2170 0.997235 603.388 1290 0.731649 600.23 
50_4_6_1.txt 1173 0.243819 600.846 1124 0.994662 603.468 1022 0.69767 601.063 
50_4_6_2.txt 1035 0.0763285 600.614 1139 0.994732 605.027 1115 0.711069 601.592 
